seed,algo,alpha,avg_reward,reward_std,stab_error
49,ICRL,0.1,-334.26492242083793,45.22158834408243,0.4467317035637741
50,PPO,0.1,-338.62306032642715,45.14876568508548,0.4747681839620957
50,SAC,0.1,-375.46928585521295,61.460430396217376,0.44657391131658286
50,EGP,0.1,-341.7165735640383,45.34050396695766,0.4745823491731025
50,FPRL,0.1,-381.2299251928389,50.24484739549411,0.45969722242571265
50,ICRL,0.1,-341.7165735640383,45.34050396695766,0.4745823491731025
1,PPO,0.5,-304.7980953099599,53.07279265357433,0.46842513659380053
1,SAC,0.5,-393.91648882933515,69.52135901341696,0.4041022956101971
1,EGP,0.5,-309.13877042413935,54.05051134645005,0.46949615641174164
1,FPRL,0.5,-381.6914784075597,58.91818608474169,0.44783104085896397
1,ICRL,0.5,-309.13877042413935,54.05051134645005,0.46949615641174164
2,PPO,0.5,-325.7272096119819,52.471528493204715,0.4590549525145674
2,SAC,0.5,-399.5533536970435,63.35162691809138,0.3823170941007211
2,EGP,0.5,-329.0842501595939,52.46720770871465,0.45737250593008477
2,FPRL,0.5,-387.4684387281974,59.631661290511026,0.43816316112918646
2,ICRL,0.5,-329.0842501595939,52.46720770871465,0.45737250593008477
3,PPO,0.5,-309.02200975082286,48.26662068364995,0.46896159922129094
3,SAC,0.5,-387.44356797066314,60.73591643949859,0.4443312136334096
3,EGP,0.5,-309.243215323923,48.23346526772332,0.4691782236462813
3,FPRL,0.5,-387.03800143422706,60.89085813370856,0.45039506839991994
3,ICRL,0.5,-309.243215323923,48.23346526772332,0.4691782236462813
4,PPO,0.5,-343.01887486336767,53.63254560145345,0.4686740739843219
4,SAC,0.5,-419.8366969298802,65.24020621126265,0.3980217210199204
4,EGP,0.5,-342.2769789628592,53.59976880463205,0.46883486161799875
4,FPRL,0.5,-379.79728353209873,56.16145226488328,0.4573785149749671
4,ICRL,0.5,-342.2769789628592,53.59976880463205,0.46883486161799875
5,PPO,0.5,-287.9901728009468,51.27210187030064,0.4521490810809191
5,SAC,0.5,-461.3610397088274,60.440710504403704,0.35375643674682455
5,EGP,0.5,-289.5072557912573,51.25523345268355,0.4525556787807231
5,FPRL,0.5,-376.5769360958173,56.734881144556184,0.4244463551565515
5,ICRL,0.5,-289.5072557912573,51.25523345268355,0.4525556787807231
6,PPO,0.5,-303.2236280251188,44.50828632070769,0.488027727861586
6,SAC,0.5,-424.47072105367425,67.85446106982403,0.3933480614665924
6,EGP,0.5,-303.7091800952481,44.11463183227663,0.48876587819874073
6,FPRL,0.5,-383.68785077024893,52.987247592779035,0.4714455712816863
6,ICRL,0.5,-303.7091800952481,44.11463183227663,0.48876587819874073
7,PPO,0.5,-380.660692753042,66.46101234054714,0.39769782181547486
7,SAC,0.5,-394.6204975882157,67.44151018207945,0.4202013635131411
7,EGP,0.5,-378.16968450642185,66.17892398945861,0.3964833540975788
7,FPRL,0.5,-426.9001101238519,73.68820069192734,0.3810410131065383
7,ICRL,0.5,-378.16968450642185,66.17892398945861,0.3964833540975788
8,PPO,0.5,-336.85664569350655,51.54187321878315,0.41504308074158514
8,SAC,0.5,-389.52959630738377,53.167216580316335,0.440958645398063
8,EGP,0.5,-334.89559852119385,50.94231238873149,0.41493242082723736
8,FPRL,0.5,-439.0081849103897,70.29985114778088,0.3474740187805629
8,ICRL,0.5,-334.89559852119385,50.94231238873149,0.41493242082723736
9,PPO,0.5,-295.87074058390516,52.83650675423397,0.44948256130929426
9,SAC,0.5,-397.17739033388665,61.11337282203405,0.45205364528401004
9,EGP,0.5,-295.86556291156563,52.89315286951578,0.4484461907752004
9,FPRL,0.5,-392.09850762028424,58.56129349113881,0.43670959900881096
9,ICRL,0.5,-295.86556291156563,52.89315286951578,0.4484461907752004
10,PPO,0.5,-310.2430738639515,42.32129295343601,0.45957105688864397
10,SAC,0.5,-393.29210523419476,52.759451139072354,0.43859955570791265
10,EGP,0.5,-308.5206976875279,42.22384958353211,0.4573413263060103
10,FPRL,0.5,-370.8099301536931,50.87190316211312,0.44863101716554793
10,ICRL,0.5,-308.5206976875279,42.22384958353211,0.4573413263060103
11,PPO,0.5,-434.4501403625807,73.37164336424614,0.42220552965874
11,SAC,0.5,-409.4022243957256,63.71623347469043,0.3904887742781677
11,EGP,0.5,-433.63809572541135,71.85779181809396,0.41817673278694567
11,FPRL,0.5,-411.96611160101406,70.87985664586824,0.4122831696905349
11,ICRL,0.5,-433.63809572541135,71.85779181809396,0.41817673278694567
12,PPO,0.5,-400.9634653898922,59.99794068540081,0.433734227492081
12,SAC,0.5,-380.13776886630967,52.81030073702671,0.48755970498993373
12,EGP,0.5,-396.44739634157474,56.88381015125067,0.4321073573711368
12,FPRL,0.5,-407.8950491501385,57.504194176872865,0.41998088321756033
12,ICRL,0.5,-396.44739634157474,56.88381015125067,0.4321073573711368
13,PPO,0.5,-319.03051900115844,52.87488917023847,0.45735382400626123
13,SAC,0.5,-433.82811172948277,66.0085162466275,0.4016082259109719
13,EGP,0.5,-324.2545177648154,53.69927325835651,0.45746766274985745
13,FPRL,0.5,-399.72728318764655,66.71881812994259,0.43520166074065936
13,ICRL,0.5,-324.2545177648154,53.69927325835651,0.45746766274985745
14,PPO,0.5,-354.17503753508737,55.69231123752978,0.4477135273051578
14,SAC,0.5,-380.2649412754322,70.39630513961396,0.4288911549656123
14,EGP,0.5,-354.1064461540907,55.71149153689297,0.44768840852104685
14,FPRL,0.5,-397.9364009988635,69.17222726132567,0.4130007139680413
14,ICRL,0.5,-354.1064461540907,55.71149153689297,0.44768840852104685
15,PPO,0.5,-334.1112859396212,60.357569281615966,0.4842353341326008
15,SAC,0.5,-414.67280558659115,55.707453375514724,0.3988835478991242
15,EGP,0.5,-334.8811927391666,60.84106097639403,0.48451652410399976
15,FPRL,0.5,-384.6083903819926,63.412928068679975,0.4620915633524305
15,ICRL,0.5,-334.8811927391666,60.84106097639403,0.48451652410399976
16,PPO,0.5,-276.24235259058906,53.13722347566202,0.46655193774383613
16,SAC,0.5,-398.26571258169673,66.30314572194362,0.43550143818660453
16,EGP,0.5,-279.7480976504097,53.50832996028755,0.4664655624542957
16,FPRL,0.5,-390.70877987392146,65.01307202179449,0.4365220590885668
16,ICRL,0.5,-279.7480976504097,53.50832996028755,0.4664655624542957
17,PPO,0.5,-349.8764066821173,64.51424317329314,0.42343963747662977
17,SAC,0.5,-444.4431267639593,62.382097241452286,0.3973773955258798
17,EGP,0.5,-374.0364998381515,70.02445766030091,0.41027311103045544
17,FPRL,0.5,-439.2740546659423,76.68462450580955,0.3659382900897522
17,ICRL,0.5,-374.0364998381515,70.02445766030091,0.41027311103045544
18,PPO,0.5,-307.03434064932355,61.65149737780455,0.4541497179897332
18,SAC,0.5,-410.44894337169404,65.70971838791289,0.3806568660645314
18,EGP,0.5,-306.9437261602148,61.54540433440995,0.45517282304767637
18,FPRL,0.5,-400.411723601763,64.50334524858728,0.41621266193561457
18,ICRL,0.5,-306.9437261602148,61.54540433440995,0.45517282304767637
19,PPO,0.5,-341.19214741681344,53.267764268567866,0.47385141934508845
19,SAC,0.5,-356.1782826840946,52.58285450110679,0.46704049164800454
19,EGP,0.5,-340.76701838564264,53.183135745143595,0.4737952397355204
19,FPRL,0.5,-386.56187875881415,56.928415281392674,0.4327785401884381
19,ICRL,0.5,-340.76701838564264,53.183135745143595,0.4737952397355204
20,PPO,0.5,-306.39709788382754,47.82073349279708,0.4450977144186887
20,SAC,0.5,-362.9339955655847,56.19325614459987,0.47327650148707506
20,EGP,0.5,-304.1744938412524,47.67089035675704,0.44421806133585284
20,FPRL,0.5,-396.29082696240556,54.82745487761684,0.41564616554786893
20,ICRL,0.5,-304.1744938412524,47.67089035675704,0.44421806133585284
21,PPO,0.5,-295.38558118666987,48.89042222119731,0.47278897933722563
21,SAC,0.5,-406.8808865112207,54.92675516107173,0.4203342705689641
21,EGP,0.5,-295.5130997531949,48.90835798122839,0.4726801545797626
21,FPRL,0.5,-375.74352895309084,54.990694265667635,0.4562990543642505
21,ICRL,0.5,-295.5130997531949,48.90835798122839,0.4726801545797626
22,PPO,0.5,-351.81810972037175,69.46205193225423,0.4253735573227794
22,SAC,0.5,-383.76611134952435,52.37028031398688,0.42538297823851073
22,EGP,0.5,-355.51805663623554,71.21542809500451,0.42558140105525377
22,FPRL,0.5,-420.77602780383694,77.52781873539686,0.3821388418771286
22,ICRL,0.5,-355.51805663623554,71.21542809500451,0.42558140105525377
23,PPO,0.5,-246.3783094598559,50.17425606248266,0.387256869389185
23,SAC,0.5,-459.70229009987435,67.69101537531894,0.3819595043032247
23,EGP,0.5,-264.11153614981,55.45237522192254,0.39166747323184786
23,FPRL,0.5,-436.28263855121696,77.40770969549534,0.34656515669554716
23,ICRL,0.5,-264.11153614981,55.45237522192254,0.39166747323184786
24,PPO,0.5,-301.8354462866878,54.43087152044533,0.46187555382212914
24,SAC,0.5,-378.72760147914613,58.0544842440104,0.41815488066237616
24,EGP,0.5,-300.87592828765344,54.32504876047164,0.46047764761058557
24,FPRL,0.5,-380.2737533485751,59.47530494992843,0.4301354227049667
24,ICRL,0.5,-300.87592828765344,54.32504876047164,0.46047764761058557
25,PPO,0.5,-340.97852895793176,46.5799935846815,0.44643669532805585
25,SAC,0.5,-385.6583786986277,57.644019084511015,0.43446877427202696
25,EGP,0.5,-342.35211812132974,46.587600096433285,0.4474367687514562
25,FPRL,0.5,-388.0302698771928,54.94508609103315,0.44271847742429593
25,ICRL,0.5,-342.35211812132974,46.587600096433285,0.4474367687514562
26,PPO,0.5,-372.5800808250143,67.07464594080615,0.461279984215908
26,SAC,0.5,-368.1940872622187,62.08990574973486,0.42522343717464534
26,EGP,0.5,-372.35392121269166,67.02360087375382,0.4610381313216281
26,FPRL,0.5,-398.6082663777329,66.2180285677054,0.441415028897159
26,ICRL,0.5,-372.35392121269166,67.02360087375382,0.4610381313216281
27,PPO,0.5,-310.05696329660185,53.08369751242513,0.46443114688724824
27,SAC,0.5,-450.34253332181976,71.24071242790482,0.38770936918862603
27,EGP,0.5,-306.0439734929431,52.026211540634804,0.4588947796269107
