seed,algo,sigma_obs,alpha,avg_reward,reward_std,stab_error
11,SAC,0.01,0.5,-241.2951180378746,73.27627472074957,0.5195420992469555
11,EGP,0.01,0.5,-322.2847938067801,120.35730179854967,0.47429409435329334
11,FPRL,0.01,0.5,-932.2001297369217,229.43669274202568,0.41979246686843613
11,ICRL,0.01,0.5,-322.2847938067801,120.35730179854967,0.47429409435329334
12,PPO,0.01,0.5,-235.6794042127082,89.60772210684928,0.5567589661638223
12,SAC,0.01,0.5,-550.6515273909524,210.85411136789148,0.7160329477435667
12,EGP,0.01,0.5,-231.6296882776107,83.68803376475742,0.5600540443499803
12,FPRL,0.01,0.5,-693.6618609498156,251.52628642148787,0.5609100652767485
12,ICRL,0.01,0.5,-231.6296882776107,83.68803376475742,0.5600540443499803
13,PPO,0.01,0.5,-148.17801703411186,45.41742527188371,0.47603644301013276
13,SAC,0.01,0.5,-403.7781637989503,142.98788460613792,0.548729953361595
13,EGP,0.01,0.5,-156.46014419730918,49.660656314106824,0.47994940873816294
13,FPRL,0.01,0.5,-562.6013737940455,213.10185556840815,0.577553744711012
13,ICRL,0.01,0.5,-156.46014419730918,49.660656314106824,0.47994940873816294
14,PPO,0.01,0.5,-201.5074612445588,66.11127144813881,0.5466646185863804
14,SAC,0.01,0.5,-274.07282306938197,93.66960303271115,0.5719427099718802
14,EGP,0.01,0.5,-201.60745293205298,66.25324271227343,0.5463853474801547
14,FPRL,0.01,0.5,-631.7437796412128,223.96328901403533,0.5653521790880188
14,ICRL,0.01,0.5,-201.60745293205298,66.25324271227343,0.5463853474801547
15,PPO,0.01,0.5,-244.91223046475668,83.63689221273127,0.5834216909064481
15,SAC,0.01,0.5,-353.69848876542284,149.36836735406254,0.5761087770025015
15,EGP,0.01,0.5,-254.67336047503863,89.88171461802114,0.5951221264625388
15,FPRL,0.01,0.5,-652.4598761387986,216.41845481978842,0.6942062042812788
15,ICRL,0.01,0.5,-254.67336047503863,89.88171461802114,0.5951221264625388
16,PPO,0.01,0.5,-162.05108097610244,39.24216272795669,0.5323700418130004
16,SAC,0.01,0.5,-458.12129946143693,208.06827693044454,0.5960152078370853
16,EGP,0.01,0.5,-176.16374424531944,49.579310925802304,0.5472565984864649
16,FPRL,0.01,0.5,-512.7622240161555,150.086280487142,0.6158391737979987
16,ICRL,0.01,0.5,-176.16374424531944,49.579310925802304,0.5472565984864649
17,PPO,0.01,0.5,-216.10602281838771,64.48335384353169,0.47649367421625116
17,SAC,0.01,0.5,-240.84606321163693,77.95757581644712,0.5035987407895887
17,EGP,0.01,0.5,-293.26576003768884,119.71959067996475,0.49067842298224856
17,FPRL,0.01,0.5,-525.6565347561772,144.4283919047747,0.4882096337354792
17,ICRL,0.01,0.5,-293.26576003768884,119.71959067996475,0.49067842298224856
