seed,algo,n_agents,beta,gamma,avg_reward,collapse_count,final_resource,reward_std
28,PPO,3,0.3,0.5,-19.489066272270993,1,0.962167676945202,0.286182236107905
28,EGP,3,0.3,0.5,-19.489066272270993,1,0.962167676945202,0.286182236107905
28,FPRL,3,0.3,0.5,-4.93142411815759,300,0.0,0.04678267067779188
29,PPO,3,0.3,0.5,-19.507285841295158,3,0.9610629681407271,0.28872533798427497
29,EGP,3,0.3,0.5,-19.507285841295158,3,0.9610629681407271,0.28872533798427497
29,FPRL,3,0.3,0.5,-4.909915403072448,300,0.0,0.050061078577920415
30,PPO,3,0.3,0.5,-19.510371477770317,1,0.9659372288023874,0.2598608826289398
30,EGP,3,0.3,0.5,-19.510371477770317,1,0.9659372288023874,0.2598608826289398
30,FPRL,3,0.3,0.5,-4.9306572454514495,300,0.0,0.06335712049104075
31,PPO,3,0.3,0.5,-19.606328415422677,3,0.9431465111492419,0.27732552824846957
31,EGP,3,0.3,0.5,-19.606328415422677,3,0.9431465111492419,0.27732552824846957
31,FPRL,3,0.3,0.5,-4.913882002720233,300,0.0,0.05101943407913601
32,PPO,3,0.3,0.5,-19.60313527788257,5,0.9690335834819631,0.3423167528882095
32,EGP,3,0.3,0.5,-19.60313527788257,5,0.9690335834819631,0.3423167528882095
32,FPRL,3,0.3,0.5,-4.920053290227088,300,0.0,0.049319517578285295
33,PPO,3,0.3,0.5,-19.56707668442637,3,0.9690538432493856,0.2922037387999967
33,EGP,3,0.3,0.5,-19.56707668442637,3,0.9690538432493856,0.2922037387999967
33,FPRL,3,0.3,0.5,-4.926029812179488,300,0.0,0.04397367294717928
34,PPO,3,0.3,0.5,-19.49467928036415,3,0.9479249828171838,0.27026380138951966
34,EGP,3,0.3,0.5,-19.49467928036415,3,0.9479249828171838,0.27026380138951966
34,FPRL,3,0.3,0.5,-4.914030023918767,300,0.0,0.04420131147421728
35,PPO,3,0.3,0.5,-19.553628567537373,3,0.9576084358203779,0.3043106187495838
35,EGP,3,0.3,0.5,-19.553628567537373,3,0.9576084358203779,0.3043106187495838
35,FPRL,3,0.3,0.5,-4.919153916536456,300,0.0,0.048623514093670696
36,PPO,3,0.3,0.5,-19.608369199238567,1,0.9688854232802468,0.24608526971654787
36,EGP,3,0.3,0.5,-19.608369199238567,1,0.9688854232802468,0.24608526971654787
36,FPRL,3,0.3,0.5,-4.925365684341081,300,0.0,0.0403366424483809
37,PPO,3,0.3,0.5,-19.53467157161998,3,0.9643917182552162,0.2838713228965948
37,EGP,3,0.3,0.5,-19.53467157161998,3,0.9643917182552162,0.2838713228965948
37,FPRL,3,0.3,0.5,-4.917114999984901,300,0.0,0.0568968428094191
38,PPO,3,0.3,0.5,-19.52062130306205,3,0.9208800731612348,0.2966411142279591
38,EGP,3,0.3,0.5,-19.52062130306205,3,0.9208800731612348,0.2966411142279591
38,FPRL,3,0.3,0.5,-4.9171263625489905,300,0.0041549897647180645,0.049843127466926214
39,PPO,3,0.3,0.5,-19.593962106159843,1,0.9602817308881725,0.3093763846149226
39,EGP,3,0.3,0.5,-19.593962106159843,1,0.9602817308881725,0.3093763846149226
39,FPRL,3,0.3,0.5,-4.917050532997159,300,0.0,0.03652673489624408
40,PPO,3,0.3,0.5,-19.58270303110917,1,0.9772499873017255,0.3306901194436472
40,EGP,3,0.3,0.5,-19.58270303110917,1,0.9772499873017255,0.3306901194436472
40,FPRL,3,0.3,0.5,-4.916637230469833,300,0.0,0.040196142139776694
41,PPO,3,0.3,0.5,-19.56537411077501,3,0.9803406533209651,0.28479472548687795
41,EGP,3,0.3,0.5,-19.56537411077501,3,0.9803406533209651,0.28479472548687795
41,FPRL,3,0.3,0.5,-4.924299594459591,300,0.0,0.03546618881580667
42,PPO,3,0.3,0.5,-19.52360306471514,8,0.9746574230203737,0.27694572007590085
42,EGP,3,0.3,0.5,-19.52360306471514,8,0.9746574230203737,0.27694572007590085
42,FPRL,3,0.3,0.5,-4.915312028632622,300,0.0,0.04156845414289649
43,PPO,3,0.3,0.5,-19.517752087164418,1,0.9805069771120579,0.3026201058391426
43,EGP,3,0.3,0.5,-19.517752087164418,1,0.9805069771120579,0.3026201058391426
43,FPRL,3,0.3,0.5,-4.917921057881046,300,0.0,0.03603083558882167
44,PPO,3,0.3,0.5,-19.581951709534252,1,0.9807354421675702,0.280309785841327
44,EGP,3,0.3,0.5,-19.581951709534252,1,0.9807354421675702,0.280309785841327
44,FPRL,3,0.3,0.5,-4.9019897967489525,300,0.0,0.04038349556325593
45,PPO,3,0.3,0.5,-19.47711610807845,1,0.9641965166198995,0.2474832868176632
45,EGP,3,0.3,0.5,-19.47711610807845,1,0.9641965166198995,0.2474832868176632
45,FPRL,3,0.3,0.5,-4.9128863396006555,300,0.0,0.03881763944590045
46,PPO,3,0.3,0.5,-19.48785881995858,2,0.9385765273913217,0.30169981012335506
46,EGP,3,0.3,0.5,-19.48785881995858,2,0.9385765273913217,0.30169981012335506
46,FPRL,3,0.3,0.5,-4.907006824311854,300,0.0,0.04702796969428341
47,PPO,3,0.3,0.5,-19.55096444446782,3,0.9814645700768245,0.2935061010042474
47,EGP,3,0.3,0.5,-19.55096444446782,3,0.9814645700768245,0.2935061010042474
47,FPRL,3,0.3,0.5,-4.927510924233576,300,0.0,0.05553703860873658
48,PPO,3,0.3,0.5,-19.599792704110307,7,0.9681542342176813,0.27658620327864925
48,EGP,3,0.3,0.5,-19.599792704110307,7,0.9681542342176813,0.27658620327864925
48,FPRL,3,0.3,0.5,-4.928809304906952,300,0.0451112580989136,0.048479195626419024
49,PPO,3,0.3,0.5,-19.561575395714073,1,0.9492598446519154,0.30666429109986826
49,EGP,3,0.3,0.5,-19.561575395714073,1,0.9492598446519154,0.30666429109986826
