alpha,seed,algo,avg_reward,stability_error
1.0,12,PPO,-423.8564445516346,0.13904318492963966
1.0,13,EGP,-322.0955466502379,0.3109642825972078
1.0,13,FPRL,-213.1644437990813,0.44585793796581485
1.0,13,PPO,-129.91222964152422,0.5235001258714165
1.0,14,EGP,-261.58162498089524,0.3850369305369522
1.0,14,FPRL,-210.72281582381484,0.45707807450120463
1.0,14,PPO,-246.15535092496458,0.4042559085124261
1.0,15,EGP,-301.2772277304484,0.35863692118972407
1.0,15,FPRL,-212.52957491898147,0.4579332217032767
1.0,15,PPO,-147.41555595152903,0.5780657218742284
1.0,16,EGP,-255.8800147110128,0.3979684974835774
1.0,16,FPRL,-206.18217205721288,0.4649713659469438
1.0,16,PPO,-85.3563717614118,0.6093250625176928
1.0,17,EGP,-445.42555535593164,0.10501669122258961
1.0,17,FPRL,-215.43260839377595,0.43777319084888766
1.0,17,PPO,-393.343538142541,0.17589247430133922
1.0,18,EGP,-110.82688108804236,0.5620085305597949
1.0,18,FPRL,-203.25900083341438,0.46155315955415444
1.0,18,PPO,-109.0041376794206,0.5643098385172252
1.0,19,EGP,-102.06065000549998,0.5564331160992595
1.0,19,FPRL,-203.97908749392238,0.4526625819139963
1.0,19,PPO,-215.3006351212851,0.44262119232524344
1.0,20,EGP,-55.916255431946475,0.6056974639610738
1.0,20,FPRL,-203.94252470693152,0.45761042290707776
1.0,20,PPO,-98.34161512875478,0.5214980866945526
1.0,21,EGP,-76.92175102380936,0.595500038946864
1.0,21,FPRL,-210.04274916049448,0.462068456980967
1.0,21,PPO,-93.21120228505703,0.5859396347321701
1.0,22,EGP,-302.95815122683956,0.3235986235851387
1.0,22,FPRL,-199.3713392173694,0.4603449539745868
1.0,22,PPO,-435.38672671272315,0.10781953611334615
1.0,23,EGP,-256.23971966099236,0.3963816408280847
1.0,23,FPRL,-207.18697898904009,0.45667727009279946
1.0,23,PPO,-57.43868546943221,0.4904533320394304
1.0,24,EGP,-65.0529366642676,0.6026322281199257
1.0,24,FPRL,-210.3650466331444,0.4466541239848878
1.0,24,PPO,-93.73965066040523,0.5485252786663033
1.0,25,EGP,-274.9636554096334,0.37692177420488776
1.0,25,FPRL,-204.92481148641969,0.45735595652954364
1.0,25,PPO,-199.36308490983305,0.450103809128477
1.0,26,EGP,-268.2575119690075,0.39415751340263505
1.0,26,FPRL,-200.93671017026125,0.46431475679600237
1.0,26,PPO,-366.53445173821603,0.24590951071603778
1.0,27,EGP,-69.55156408300742,0.6123196140061098
1.0,27,FPRL,-201.2600639650604,0.47189494753502587
1.0,27,PPO,-101.77964015789763,0.5863729611891394
1.0,28,EGP,-290.00298734936325,0.3775418571339914
1.0,28,FPRL,-213.28600477255108,0.44925693536504097
1.0,28,PPO,-129.0142202440322,0.5218199543168826
1.0,29,EGP,-104.4930849820269,0.5648759172873936
1.0,29,FPRL,-206.07482229077365,0.4610763654455567
1.0,29,PPO,-143.1796972578985,0.5565118068327766
1.0,30,EGP,-133.07673726579205,0.5239881143873732
1.0,30,FPRL,-207.39196495972433,0.4696398537906329
1.0,30,PPO,-66.08718601526924,0.5885696778829904
1.0,31,EGP,-362.53854785243334,0.24517192853497252
1.0,31,FPRL,-205.3046529502503,0.45997400098271923
1.0,31,PPO,-119.11763821799532,0.5613828707716495
1.0,32,EGP,-187.62807648396324,0.466004373822968
1.0,32,FPRL,-199.78865369948028,0.4502779256925172
1.0,32,PPO,-82.91483003178982,0.5566347805592525
1.0,33,EGP,-130.8434543665412,0.5002778410201362
1.0,33,FPRL,-208.78843676922588,0.4366999285234287
1.0,33,PPO,-443.0788030104911,0.09178498417042379
1.0,34,EGP,-246.87683857532852,0.4136623860873647
1.0,34,FPRL,-204.84989178652793,0.46204819822076665
1.0,34,PPO,-115.96452441465313,0.5656240382872869
1.0,35,EGP,-86.73700820062123,0.5578639895360071
1.0,35,FPRL,-207.93593985885354,0.4511346768133917
1.0,35,PPO,-89.98095271166619,0.5493141252802398
1.0,36,EGP,-107.69598849613001,0.5468574920206943
1.0,36,FPRL,-203.37381286618546,0.4493409123463257
1.0,36,PPO,-65.748157206091,0.5652029628034559
1.0,37,EGP,-146.95284264476996,0.5057458671793785
1.0,37,FPRL,-203.27954217896524,0.4550310285391776
1.0,37,PPO,-250.08485852598935,0.4065638425664374
1.0,38,EGP,-350.0550110419631,0.2674631888787911
1.0,38,FPRL,-203.35645786796184,0.45331314586779864
1.0,38,PPO,-135.47089945433262,0.5196634404108718
1.0,39,EGP,-263.7134468699383,0.37952206320899295
1.0,39,FPRL,-223.89132384658032,0.4340618421639881
1.0,39,PPO,-419.7230383255672,0.13271243014120376
1.0,40,EGP,-126.94978054052213,0.5244899675071079
1.0,40,FPRL,-202.3382638704219,0.45293990832267267
1.0,40,PPO,-166.61444392857823,0.4998483687741378
1.0,41,EGP,-274.8912493443721,0.37601576666131603
1.0,41,FPRL,-201.04219398417516,0.4602904609648296
1.0,41,PPO,-187.91965407167547,0.4949708769013294
1.0,42,EGP,-303.81099009402385,0.3324818221379542
1.0,42,FPRL,-206.39325359041172,0.4572138298278757
1.0,42,PPO,-175.92027185464266,0.45240580029577876
1.0,43,EGP,-176.61197186567756,0.47721154597999477
1.0,43,FPRL,-205.48899477353874,0.46045214928947903
1.0,43,PPO,-143.4337170298487,0.5185759861059865
1.0,44,EGP,-349.6001694689654,0.2759178836995124
1.0,44,FPRL,-192.4699170127832,0.4465315399839197
1.0,44,PPO,-87.61135465427583,0.5328368997513341
1.0,45,EGP,-137.75438179894536,0.5012097664017994
1.0,45,FPRL,-203.26106355658916,0.45883841261132663
1.0,45,PPO,-176.23726674202837,0.46885070689800473
1.0,46,EGP,-57.376932613658624,0.6043529059601547
1.0,46,FPRL,-202.08601214144264,0.4611049612240917
1.0,46,PPO,-59.24068394289492,0.5619013488224069
